"txid","refid","time","type","aclass","asset","amount","fee","balance"
"","QCCRNX3-5CAXOY-JE5NYY","2017-12-22 09:04:35","deposit","currency","ZEUR",2.0000,0.0000,""
"LMN6MR-QUQZX-BUSG3O","QCCRNX3-5CAXOY-JE5NYY","2017-12-22 09:56:08","deposit","currency","ZEUR",2.0000,0.0000,2.0000
"","QCC4VEM-36WKH3-BLUWYH","2017-12-28 09:53:37","deposit","currency","ZEUR",300.0000,0.0000,""
"LF5HJI-DSSED-EOMFIG","QCC4VEM-36WKH3-BLUWYH","2017-12-28 09:54:35","deposit","currency","ZEUR",300.0000,0.0000,302.0000
"L3447J-7PNV3-3WUGNK","TIC6WI-7YNUY-6ENG4R","2017-12-28 11:13:20","trade","currency","XXRP",102.00000000,0.00000000,102.00000000
"LBSMTZ-YCEU3-HM2IZ5","TIC6WI-7YNUY-6ENG4R","2017-12-28 11:13:20","trade","currency","ZEUR",-101.8572,0.2648,199.8780
"L4MDYM-C65A4-GRXK23","TIXS4G-IZZS4-XTHAX5","2017-12-28 12:34:34","trade","currency","BCH",0.0972650700,0.0002205000,0.0970445700
"LLLOUY-OKQMR-F2BKBO","TIXS4G-IZZS4-XTHAX5","2017-12-28 12:34:34","trade","currency","ZEUR",-199.8116,0.0664,0.0000
"","AIBCSOI-O2BEYC-IPZQIJ","2017-12-28 12:39:54","withdrawal","currency","XXRP",-101.98000000,0.02000000,""
"LM5SA5-YW2CT-6UPUVY","AIBCSOI-O2BEYC-IPZQIJ","2017-12-28 12:43:48","withdrawal","currency","XXRP",-101.98000000,0.02000000,0.00000000
"","AGENKML-XBIIVH-RXOAFA","2017-12-28 12:59:42","withdrawal","currency","BCH",-0.0960400000,0.0010000000,""
"LTFYQ4-3OREM-D6XFBY","AGENKML-XBIIVH-RXOAFA","2017-12-28 13:21:38","withdrawal","currency","BCH",-0.0960400000,0.0010000000,0.0000045700
"","QCC7OMO-4ZVGDL-SR2VQH","2018-01-09 10:18:49","deposit","currency","ZEUR",500.0000,0.0000,""
"LYPJBG-3DYLX-D3MBAF","QCC7OMO-4ZVGDL-SR2VQH","2018-01-09 13:07:56","deposit","currency","ZEUR",500.0000,0.0000,500.0000
"LIYZGI-4GK34-C2UXUG","TPD3KQ-Z75CQ-IVGKMI","2018-01-09 13:21:13","trade","currency","DASH",0.1127395700,0.0000000000,0.1127395700
"LS7PE4-KGRGN-S5PKMT","TPD3KQ-Z75CQ-IVGKMI","2018-01-09 13:21:13","trade","currency","ZEUR",-100.0000,0.1600,399.8400
"LWW4VR-WDKWF-XRF2M6","TIW2VG-DZIUI-4DU5M4","2018-01-09 13:44:27","trade","currency","BCH",0.0503271200,0.0000000000,0.0503316900
"LNXD2P-MCM4U-IWFGGK","TIW2VG-DZIUI-4DU5M4","2018-01-09 13:44:27","trade","currency","ZEUR",-100.0000,0.1600,299.6800
"L6EHWE-FXLIE-OB2QE2","TFVD3Z-Q5HIW-4NBGTT","2018-01-09 13:45:00","trade","currency","XLTC",0.1192333500,0.0000000000,0.1192333500
"L4RHNA-5Z7B4-47QUA7","TFVD3Z-Q5HIW-4NBGTT","2018-01-09 13:45:00","trade","currency","ZEUR",-24.4428,0.0391,275.1981
"LXVBXM-SPJDD-MPW52E","TZDL5P-LZNZ7-FUL5FL","2018-01-09 13:45:00","trade","currency","XLTC",0.1192460100,0.0000000000,0.2384793600
"LRMYU6-IGCGR-BFHD5Q","TZDL5P-LZNZ7-FUL5FL","2018-01-09 13:45:01","trade","currency","ZEUR",-24.4454,0.0391,250.7136
"LUH4XH-FKAJT-6TWGDT","TOM33M-KII5A-T2MJ5A","2018-01-09 13:45:26","trade","currency","XLTC",0.2493255100,0.0000000000,0.4878048700
"LTFTN5-53SKU-WAQWQB","TOM33M-KII5A-T2MJ5A","2018-01-09 13:45:26","trade","currency","ZEUR",-51.1117,0.0818,199.5201
"LCJLG3-Z2FTQ-5FLOBB","TBYNTE-4GDRM-J7ZIE6","2018-01-09 13:46:45","trade","currency","XLTC",0.4901960700,0.0000000000,0.9780009400
"LOBDDE-MHHOZ-S5GFX3","TBYNTE-4GDRM-J7ZIE6","2018-01-09 13:46:45","trade","currency","ZEUR",-100.0000,0.1600,99.3601
"LU4II5-P55EG-UAG3XA","TLY75J-UXHYF-XJ555Y","2018-01-09 15:34:37","trade","currency","XXRP",51.35733041,0.08217069,51.27515972
"LV3LII-64HID-VUV7EP","TLY75J-UXHYF-XJ555Y","2018-01-09 15:34:37","trade","currency","ZEUR",-99.3590,0.0000,0.0011
"","AGEDDPS-YMTBW6-Y2VRJ3","2018-01-10 10:14:18","withdrawal","currency","BCH",-0.0493300000,0.0010000000,""
"LCKKTU-UQ6S4-D3LPJC","AGEDDPS-YMTBW6-Y2VRJ3","2018-01-10 10:25:53","withdrawal","currency","BCH",-0.0493300000,0.0010000000,0.0000016900
"","AMBXJVL-NO5MSR-Q45QNX","2018-01-10 10:26:38","withdrawal","currency","XLTC",-0.9770000000,0.0010000000,""
"LKKBMB-F3V5T-B5GF5Q","AMBXJVL-NO5MSR-Q45QNX","2018-01-10 10:36:15","withdrawal","currency","XLTC",-0.9770000000,0.0010000000,0.0000009400
"","AIB4UJL-BKBG4R-HOE6SY","2018-01-10 10:36:29","withdrawal","currency","XXRP",-51.25515000,0.02000000,""
"LSOMTV-5I5M7-4ZCL57","AIB4UJL-BKBG4R-HOE6SY","2018-01-10 10:41:48","withdrawal","currency","XXRP",-51.25515000,0.02000000,0.00000972
"","BCBKVH4-3HX7FA-4P4FZ7","2018-01-10 10:53:42","withdrawal","currency","DASH",-0.1077300000,0.0050000000,""
"LW5B26-D66CK-GEOCBV","BCBKVH4-3HX7FA-4P4FZ7","2018-01-10 11:01:12","withdrawal","currency","DASH",-0.1077300000,0.0050000000,0.0000095700
"","QCC5OXG-Z6X5XA-M6KVQA","2018-04-04 11:03:06","deposit","currency","ZEUR",100.0000,0.0000,""
"LTZYXD-YC6ZT-UUWLKB","QCC5OXG-Z6X5XA-M6KVQA","2018-04-04 11:15:22","deposit","currency","ZEUR",100.0000,0.0000,100.0011
"LFLD2B-FZK7P-6NA5G2","TRIAL3-AYKNZ-XOGYD5","2018-04-04 14:25:29","trade","currency","ZEUR",-50.1930,0.0803,49.7278
"LZEIPT-666TI-XHHCFK","TRIAL3-AYKNZ-XOGYD5","2018-04-04 14:25:29","trade","currency","XXLM",300.00000000,0.00000000,300.00000000
"LJ7FKB-TKJI4-OXB5LC","TPRVQU-6MXO5-X4ZEE2","2018-04-04 14:32:43","trade","currency","ZEUR",-45.2780,0.0724,4.3774
"LLVQR3-FOHIO-K3FFZW","TPRVQU-6MXO5-X4ZEE2","2018-04-04 14:32:43","trade","currency","EOS",10.0000000000,0.0000000000,10.0000000000
"LW2EYI-62Z4U-A2NHL6","TU44JW-5G3BV-HHHZFQ","2018-04-19 00:52:17","trade","currency","XXLM",-150.00000000,0.24000000,149.76000000
"LU3U5E-2K3LY-ADDTSS","TU44JW-5G3BV-HHHZFQ","2018-04-19 00:52:17","trade","currency","ZEUR",45.0000,0.0000,49.3774
"LWR2KN-LIQJW-FXBXFU","T5SYSX-D22BN-JAW2UK","2018-04-19 08:25:20","trade","currency","ZEUR",-40.5000,0.0648,8.8126
"L5VBFE-GWQTP-KLLUR4","T5SYSX-D22BN-JAW2UK","2018-04-19 08:25:20","trade","currency","XXLM",150.00000000,0.00000000,299.76000000
"LSI5WS-EYTAV-LAOQDD","TZT5AC-K4RFJ-3L3N2A","2018-04-20 16:46:51","trade","currency","EOS",-5.0000000000,0.0080000000,4.9920000000
"LR36XD-GOR4G-R3VPI7","TZT5AC-K4RFJ-3L3N2A","2018-04-20 16:46:51","trade","currency","ZEUR",45.0000,0.0000,53.8126
"LBZTO4-UFERA-6WFS3X","TZ6NV5-PMXPB-PYSOB4","2018-04-22 19:51:22","trade","currency","ZEUR",-46.5000,0.0744,7.2382
"LYVF4B-HONRG-AEIUTM","TZ6NV5-PMXPB-PYSOB4","2018-04-22 19:51:22","trade","currency","EOS",5.0000000000,0.0000000000,9.9920000000
"","QCCSMO7-XMT4NE-L4J7X3","2018-05-02 09:40:04","deposit","currency","ZEUR",100.0000,0.0000,""
"LNWHAF-GSV24-S74H62","QCCSMO7-XMT4NE-L4J7X3","2018-05-02 09:55:40","deposit","currency","ZEUR",100.0000,0.0000,107.2382
